Product Name,Product Features,Price (₹),Rating,Reviews,Product Link,Image URL,Description
Doctor Health,N/A,496,4.1 out of 5 stars,16,N/A,https://m.media-amazon.com/images/I/61RPR0MHSXL._AC_UL320_.jpg,N/A
AFROJACK,N/A,599,5.0 out of 5 stars,1,N/A,https://m.media-amazon.com/images/I/51yWk36+-zL._AC_UL320_.jpg,N/A
Time Jump,N/A,284,3.7 out of 5 stars,9,N/A,https://m.media-amazon.com/images/I/71HzvA-CV7L._AC_UL320_.jpg,N/A
Liberty,N/A,419,3.4 out of 5 stars,"3,017",N/A,https://m.media-amazon.com/images/I/51ZyC-iEGZL._AC_UL320_.jpg,N/A
Bata,N/A,451,4.1 out of 5 stars,337,N/A,https://m.media-amazon.com/images/I/81GQzs3zWAL._AC_UL320_.jpg,N/A
adidas,N/A,934,3.9 out of 5 stars,119,N/A,https://m.media-amazon.com/images/I/61NLheCLRNL._AC_UL320_.jpg,N/A
SPARX,N/A,348,4.1 out of 5 stars,"3,461",N/A,https://m.media-amazon.com/images/I/51YfRi+DaNL._AC_UL320_.jpg,N/A
Bata,N/A,696,3.9 out of 5 stars,356,N/A,https://m.media-amazon.com/images/I/51H+RhFMaIL._AC_UL320_.jpg,N/A
U.S. POLO ASSN.,N/A,"1,018",3.4 out of 5 stars,47,N/A,https://m.media-amazon.com/images/I/51vF-SCx1gL._AC_UL320_.jpg,N/A
Puma,N/A,519,3.8 out of 5 stars,47,N/A,https://m.media-amazon.com/images/I/51hnm-AF7HL._AC_UL320_.jpg,N/A
YOHO,N/A,494,4.0 out of 5 stars,"1,567",N/A,https://m.media-amazon.com/images/I/61qUx5HtTiL._AC_UL320_.jpg,N/A
Bata,N/A,451,4.1 out of 5 stars,431,N/A,https://m.media-amazon.com/images/I/71fwLhqJ3oL._AC_UL320_.jpg,N/A
Bata,N/A,386,4.0 out of 5 stars,331,N/A,https://m.media-amazon.com/images/I/51-h25ePBnL._AC_UL320_.jpg,N/A
