Product Name,Price (₹),Rating,Reviews,Product Link,Image URL,Description
Moroccanoil Treatment 100ml,"4,320",4.4 out of 5 stars,"81,694",N/A,https://m.media-amazon.com/images/I/61tRYoG1bHL._AC_UL320_.jpg,N/A
WOW Onion Black Seed Hair Oil - Controls Hair Fall - No Mineral Oil & Silicones - 200mL,240,3.9 out of 5 stars,"59,514",N/A,https://m.media-amazon.com/images/I/61PXKNTZciL._AC_UL320_.jpg,N/A
"Parachute Advansed Jasmine Coconut Hair Oil with Vitamin E for Healthy Shiny Hair, Non-sticky, 90ml",40,4.1 out of 5 stars,378,N/A,https://m.media-amazon.com/images/I/61GFYl8OpHL._AC_UL320_.jpg,N/A
"Hamdard RAUGHAN-E-BADAM SHIREEN Sweet Almond Oil for Body, Skin & Hair | 100ml | Natural Almond Oil | Helps Enhance Memory | Helps Relieve Constipation | Helps Build Stronger Muscles | Pack of 1",399,4.4 out of 5 stars,"9,653",N/A,https://m.media-amazon.com/images/I/81-hyTrzo-L._AC_UL320_.jpg,N/A
SESA Ayurvedic Hair Oil With Bhringraj & 17 Rare Herbs With Coconut Oil and 4 Nourishing Oil For Hair Growth Help Control Hair Fall with Easy Oil Applicator For Women and Men (200 ml),270,4.2 out of 5 stars,"8,052",N/A,https://m.media-amazon.com/images/I/61molhaJnhL._AC_UL320_.jpg,N/A
Parachute Coconut Oil - 600 ml (Easy Jar),285,4.5 out of 5 stars,"1,204",N/A,https://m.media-amazon.com/images/I/610znuVyFXL._AC_UL320_.jpg,N/A
"Parachute Advansed Jasmine Coconut Hair Oil, 300 ml",124,4.3 out of 5 stars,"1,170",N/A,https://m.media-amazon.com/images/I/61r+4iMHNKL._AC_UL320_.jpg,N/A
"UrbanBotanics® Pure Cold Pressed Sweet Almond Oil for Hair and Skin, 100ml (Odorless)",169,4.2 out of 5 stars,"19,629",N/A,https://m.media-amazon.com/images/I/61ddfFXuPZL._AC_UL320_.jpg,N/A
INTIMIFY Rosemary Essential Oil For Hair Growth for Women & Men | Reduce Acne| Moisturize Skin | For All Skin & Hair Types (30 ml),158,4.6 out of 5 stars,"1,416",N/A,https://m.media-amazon.com/images/I/613PAjAw81L._AC_UL320_.jpg,N/A
"Hair & Care with Almond,Non-Sticky Hair Oil, 300 ml",139,4.1 out of 5 stars,"2,829",N/A,https://m.media-amazon.com/images/I/51wMvtEbM7L._AC_UL320_.jpg,N/A
