Product Name,Product Features,Price (₹),Rating,Reviews,Product Link,Image URL
"Parachute Advansed Aloe Vera Enriched Coconut Hair Oil, 400 ml","For Soft, Strong Hair",201,4.3 out of 5 stars,"6,063",N/A,https://m.media-amazon.com/images/I/61MLNs-Q35L._AC_UL320_.jpg
"Nat Habit Cold Pressed Jamaican Black Castor Oil for Hair & Eye Lashes Growth, 100% Pure Castor (Arandi) Oil for Women & Men, Skin & Hair","Vitamin E, Omega-6 & 9, Mineral Free - (200 ml)",263,4.3 out of 5 stars,"2,015",N/A,https://m.media-amazon.com/images/I/51FVgHw3q-L._AC_UL320_.jpg
"Soulflower Rosemary Baby Hair Oil for Hair Growth, 100% Pure & Natural Organic, Nourishment","Avocado, Coconut, Olive & Almond Oils, Dermatologist & Pediatrician Tested for Healthy Scalp, 225ml",359,4.3 out of 5 stars,680,N/A,https://m.media-amazon.com/images/I/61izINvFPGL._AC_UL320_.jpg
Mamaearth Onion Hair Oil for Men & Women,"Onion & Redensyl for Hair Fall Control, Hair Growth Oil for Hair Fall - 250ml",508,4.0 out of 5 stars,"56,364",N/A,https://m.media-amazon.com/images/I/61pm+VDnTTL._AC_UL320_.jpg
Khadi Natural Amla & Bhringraj Hair Oil,Herbal Oil for Boosting Hair Growth | Non-sticky Hair Oil | Silicone & Mineral Oil Free | Suitable for All Hair Types | Powered Botanics|200ml,430,4.0 out of 5 stars,127,N/A,https://m.media-amazon.com/images/I/71H3cgpkrAL._AC_UL320_.jpg
Hair & Care,"Almond,Non-Sticky Hair Oil, 300 ml",139,4.1 out of 5 stars,"2,830",N/A,https://m.media-amazon.com/images/I/51wMvtEbM7L._AC_UL320_.jpg
UrbanBotanics® Pure Cold Pressed Sweet Almond Oil for Hair and Skin,100ml (Odorless),228,4.2 out of 5 stars,"19,638",N/A,https://m.media-amazon.com/images/I/61ddfFXuPZL._AC_UL320_.jpg
Himalaya Herbals Anti-Dandruff Hair Oil,100ml,136,4.0 out of 5 stars,"3,612",N/A,https://m.media-amazon.com/images/I/71bjXOh4tFL._AC_UL320_.jpg
Khadi Natural Tulsi Herbal Hair Oil,"Aurvedic Hair Oil For Hair Fall | Non-Sticky Hair Oil For Dry Scalp | Paraben & Mineral Oil Free | Suitable For All Hair Types, 210 ml",142,4.0 out of 5 stars,453,N/A,https://m.media-amazon.com/images/I/518G-wHLsKL._AC_UL320_.jpg
Parachute Advansed Ayurvedic Hot Oil,300 ml,137,4.2 out of 5 stars,"12,813",N/A,https://m.media-amazon.com/images/I/51CrM6dK6+L._AC_UL320_.jpg
"Indulekha Bringha, Ayurvedic Hair Oil, 50ml, for Hair Fall Control,","Amla & Coconut Oil, with Comb Applicator",177,4.1 out of 5 stars,"12,947",N/A,https://m.media-amazon.com/images/I/614K49ZlYKL._AC_UL320_.jpg
"Kottakkal ayurveda® Nilibhringadi Tailam - 200 ml, Enriched","Natural Ingredients, Helps to Improve Quality of Hair",230,4.2 out of 5 stars,979,N/A,https://m.media-amazon.com/images/I/71cH7Pr-OlL._AC_UL320_.jpg
Singular Urban Protect Hair Oil,"Anti-Pollution & UV Protection | Repairs Damaged & Frizzy Hair | Natural Cold-Pressed Argan, Coconut, Moringa, Green Tea & Sesame Oil | Lightweight & Non-Sticky - 100 ml",284,4.8 out of 5 stars,52,N/A,https://m.media-amazon.com/images/I/61KyfW+S0WL._AC_UL320_.jpg
Bajaj 100% Pure Castor Oil 200ml,"Pure Hair Oil, Natural Cold-Pressed Castor Oil, No Silicones, Paraben Free, Lead Free",179,4.2 out of 5 stars,"2,673",N/A,https://m.media-amazon.com/images/I/718Sf48yHWL._AC_UL320_.jpg
Just Herbs Javakusum Hair Oil for Men & Women,"Controls Dandruff, 100% Natural, Certified Organic Ingredients - 100 ML",464,4.0 out of 5 stars,339,N/A,https://m.media-amazon.com/images/I/61ekoRLXrAL._AC_UL320_.jpg
Singular Anti Dandruff Hair Oil for Men & Women - Pure & Natural Cold Pressed Hair oil for Dandruff and Hairfall for Scalp Microbiome Balance,"Tea Tree, Peppermint & More Hair Oil - 100 ml",299,4.5 out of 5 stars,223,N/A,https://m.media-amazon.com/images/I/61C5b0vDZSL._AC_UL320_.jpg
"Brillare Argan Hair Oil,","the Goodness of Olive oil & Sunflower Oil, for Dry & Frizzy Hairs, 100% Natural Hair Oil, 100ml",202,4.0 out of 5 stars,308,N/A,https://m.media-amazon.com/images/I/718AsMuyboL._AC_UL320_.jpg
Max Care Virgin Coconut Oil,(Cold Pressed) 500Ml,375,4.5 out of 5 stars,"45,766",N/A,https://m.media-amazon.com/images/I/61oagbcgAtS._AC_UL320_.jpg
Baidyanath Mahabhringraj Tel - 200,ml,199,4.1 out of 5 stars,"2,223",N/A,https://m.media-amazon.com/images/I/618QQh1Uq-L._AC_UL320_.jpg
WOW Skin Science Rosemary with Biotin Hair Growth Oil,Stimulates New Hair Growth | Controls Hair Fall & Reduces Hair Breakage | Gives Healthy Hair| 25 ml,116,3.6 out of 5 stars,284,N/A,https://m.media-amazon.com/images/I/616c6u3wDsL._AC_UL320_.jpg
